Category,Name,Platform,Handle/URL,Followers,Email,Contact Method,Status,Notes
CELEB FASHION BLOG,Donovan Style,IG,@donovanstyle_,200K+ (IG),,DM / IG bio,Not Started,"Male celebrity fashion spotting. Covers rappers in Supreme, Jordan, etc."
FASHION PUBLICATION,GQ,Web/IG,gq.com / @gq,8M+ (IG),letters@gq.com,Email,Not Started,"Conde Nast. GQ Style covers streetwear extensively. Ad sales via condenast.com/advertising."
FASHION PUBLICATION,Esquire,Web/IG,esquire.com / @esquire,5M+ (IG),,hearst.com/advertising,Not Started,"Hearst publication. Covers celebrity style, streetwear features."
FASHION PUBLICATION,Highsnobiety (Print),Print/Web,company.highsnobiety.com,,info@highsnobiety.com,Email,Not Started,"Quarterly print magazine. Premium placement, longer lead time."
STREETWEAR IG PAGE,@hypedrops,IG,@hypedrops,500K+ (IG),,DM / IG bio,Not Started,"Streetwear drops, celebrity fits, Supreme/Nike/Jordan content. Check bio for promo email."
STREETWEAR IG PAGE,@streetwearde,IG,@streetwearde,300K+ (IG),,DM / IG bio,Not Started,"European streetwear scene. Outfit grids, celebrity fits."
STREETWEAR IG PAGE,@outfitgrid,IG,@outfitgrid,700K+ (IG),,DM / IG bio,Not Started,"Flat lay outfit photos. Large engaged audience. Accepts paid features."
STREETWEAR IG PAGE,@blkvis,IG,@blkvis,400K+ (IG),,DM / IG bio,Not Started,"Dark aesthetic streetwear. Celebrity fits, brand features."
STREETWEAR IG PAGE,@drfrankz,IG,@drfrankz,200K+ (IG),,DM / IG bio,Not Started,"Streetwear outfit inspiration. DM for promo rates."
STREETWEAR IG PAGE,@hypeaf,IG,@hypeaf,500K+ (IG),,DM / IG bio,Not Started,"Hypebeast culture, drops, celebrity streetwear. Paid features available."
STREETWEAR IG PAGE,@streetwearfashion_,IG,@streetwearfashion_,200K+ (IG),,DM / IG bio,Not Started,"Streetwear outfit inspo. Accepts paid promo."
STREETWEAR IG PAGE,@fashionfuckery,IG,@fashionfuckery,300K+ (IG),,DM / IG bio,Not Started,"Featured by Hypebeast. Streetwear memes + fits. Engaged community."
SNEAKER/DROP PAGE,@j23app,IG/App,@j23app,1M+ (IG),,DM / App,Not Started,"Jordan release dates + celebrity sightings in Jordans. Huge sneakerhead audience."
SNEAKER/DROP PAGE,@sneakerfreakermag,IG/Web,@sneakerfreakermag,3M+ (IG),,Website contact,Not Started,"Australian sneaker magazine. Global reach. Covers celebrity sneaker moments."
SNEAKER/DROP PAGE,@kicksdaily,IG,@kicksdaily,500K+ (IG),,DM / IG bio,Not Started,"Daily sneaker content. Celebrity kicks spotting."
STREETWEAR MEDIA,Freshness Mag,Web/IG,freshnessmag.com / @freshnessmag,200K+ (IG),info@freshnessmag.com,Email,Not Started,"Sneaker + streetwear news since 2003. Celebrity style coverage."
STREETWEAR MEDIA,Juicebox,Web/IG,juiceboxmagazine.com,50K+ (IG),,DM / Website,Not Started,"Indie streetwear magazine. Lower rates, more niche audience."
CELEB FASHION BLOG,Style Rave,Web/IG,stylerave.com / @stylerave,200K+ (IG),,Website contact,Not Started,"Covers celebrity streetwear fits (Tom Hardy in Supreme x Jordan etc). African + global fashion."
