Category,Name,Platform,Handle/URL,Followers,Email,Contact Method,Status,Last Contact,Notes
EDITORIAL,Genius,Web/YouTube,genius.com / @genius,,press@genius.com,Email,Not Started,,"Based in Brooklyn. Brand partnerships: First.Last@genius.com format. Also: feedback@genius.com"
EDITORIAL,Underground Hip Hop Blog,Web,undergroundhiphopblog.com,,UGHHBLOG@GMAIL.COM,Email,Not Started,,Top independent hip hop blog
EDITORIAL,Rap-Up,Web/IG,rap-up.com / @rapaborhood,,,,Not Started,,Culture + lifestyle + celebrity hip hop coverage
EDITORIAL,DJBooth,Web,djbooth.net,,dave@djbooth.net,Email,Not Started,,"Dave Macli (advertising). Submit music: djbooth.net/artists/submit. Staff emails: First@djbooth.net"
EDITORIAL,Revolt,Web/TV/YouTube,revolt.tv / @revolt,,,,Not Started,,Diddy's media company. TV + digital. Check revolt.tv for contact.
EDITORIAL,Stereofox,Web,stereofox.com,,,,Not Started,,Submit via Groover platform
EDITORIAL,New Fire Music,Web,newfiremusic.net,,,,Not Started,,Submit via Groover platform
EDITORIAL,Cabbages,Web,cabbageshiphop.com,,,,Not Started,,Hip hop newsletter/blog. Click Contact on homepage.
LABEL,Interscope Records,Label,,,,Website / existing relationship,Not Started,,Sean already has contact through Nettspend/Clover work
LABEL,"Fool's Gold Records",Label,foolsgoldrecs.com,,info@foolsgoldrecs.com,Email,Not Started,,"A-Trak's label. Hip hop, electronic, dance"
LABEL,Babygrande Records,Label,babygrande.com,,inquiries@babygrande.com,Email,Not Started,,"Founded 2001. Hip hop, EDM, indie rock"
LABEL,Rhymesayers Entertainment,Label,rhymesayers.com,,info@rhymesayers.com,Email,Not Started,,"Atmosphere, Brother Ali, Prof"
LABEL,Cinematic Music Group,Label,cinematicmusicgroup.com,,,,Not Started,,"Joey Bada$$, Flipp Dinero"
LABEL,Mass Appeal,Label,massappeal.com,,,,Not Started,,"Nas-backed. Hip hop, culture"
LABEL,Griselda Records,Label,,,,,Not Started,,"Westside Gunn, Conway, Benny the Butcher"
LABEL,EMPIRE Distribution,Label,empi.re,,,,Not Started,,"Kendrick, Anderson .Paak, DRAM — major independent"
LABEL,10K Projects,Label,10kprojects.com,,,,Not Started,,"Iann Dior, Trippie Redd, Internet Money"
LABEL,Rostrum Records,Label,rostrumrecords.com,,,,Not Started,,"Launched Mac Miller, Wiz Khalifa"
LABEL,Alamo Records,Label,alamorecords.com,,,,Not Started,,"Smokepurpp, Lil Durk (early career)"
LABEL,Coalmine Records,Label,coalminerecords.com,,,,Not Started,,Underground/boom bap hip hop
LABEL,Nature Sounds,Label,naturesoundsmusic.com,,,,Not Started,,Independent hip hop
LABEL,Payday Records,Label,,,,,Not Started,,Independent hip hop
LABEL,WEDIDIT,Label,wedidit.co,,,,Not Started,,"Shlohmo, RL Grime — electronic/hip hop crossover"
PR FIRM,Yo! PR / Yo! Promotions,PR,yo-promotions.com,,info@yo-pr.com,Email,Not Started,,"Global digital marketing agency, hip hop/R&B/rap focus"
PR FIRM,Lost Boy Entertainment,PR,lostboyent.com,,,,Not Started,,"300+ years combined experience. Clients: Cardi B, Migos, Travis Scott, Gunna, Snoop. Check lostboyent.com for contact"
PR FIRM,Starlight PR,PR,starlightpr1.com,,,,Not Started,,"Clients: Snoop Dogg, Wu-Tang, T-Pain, Lil Wayne. Check website for contact"
PR FIRM,Independent Music Promotions,PR,independentmusicpromotions.com,,,,Not Started,,Worldwide hip hop PR for independent artists
PR FIRM,Girlie Action Media,PR,girlieshowmedia.com,,,,Not Started,,"Emerging + established artists, festivals, events. Hip hop included"
PR FIRM,Motormouthmedia,PR,motormouthmedia.com,,,,Not Started,,Music PR agency
PLAYLIST CURATOR,Rap Gems,Spotify,,,,tomusicarray@gmail.com,Email,Not Started,,Hip hop Spotify playlist
PLAYLIST CURATOR,NWA (Louis Wermter),Spotify,soundplate.com/nwa,,,,Not Started,,Submit via Soundplate: play.soundplate.com/nwa
PLAYLIST CURATOR,Loud Vitamins,Spotify,,,,,Not Started,,Top Rap Playlist. Submit: play.soundplate.com/toprap
PLAYLIST CURATOR,Top Hip Hop Weekly,Spotify,,,,,Not Started,,Submit: play.soundplate.com/tophop
PLAYLIST CURATOR,Fresh Beats,Spotify,,,,,Not Started,,Instrumental hip hop. Submit: play.soundplate.com/beats
FAN PAGE / PROMO,The Hub of Kingdom Rap,IG,@rap4thekingdom,,r4tkbusiness@gmail.com,Email,Not Started,,"CHH (Christian Hip Hop) news, snippets, promotion"
FAN PAGE / PROMO,Rapper Promotion,IG,@rapperpromotion,,therapperpromoter@gmail.com,Email,Not Started,,Daily rap/drill promotion content
FAN PAGE / PROMO,The Philly Wave,IG,@thephillywavee,58K,,DM / IG bio,Not Started,,Philadelphia hip hop scene
FAN PAGE / PROMO,WestKoast Keve,IG,@westkoastkeve,96K,kevebooking@gmail.com,Email,Not Started,,West Coast hip hop influencer
FAN PAGE / PROMO,The Grouch,IG,@thegrouch,68K,cassie@minttalentgroup.com,Email,Not Started,,Hip hop artist/influencer — contact through management
FAN PAGE / PROMO,BIG NOYD,IG,@rappernoyd,44K,rappernoyd@gmail.com,Email,Not Started,,Mobb Deep-affiliated rapper
FAN PAGE / PROMO,Skema Boy,IG,@skema.boy,148K,skemaboyent@gmail.com,Email,Not Started,,Hip hop influencer
FAN PAGE / PROMO,Yaahn Hunter Jr,IG,@yhuntermusic,151K,Booking.yhuntermusic@gmail.com,Email,Not Started,,Hip hop artist/influencer
FAN PAGE / PROMO,Street Hymns,IG,@streethymns,32K,BookStreetHymns@Gmail.Com,Email,Not Started,,Hip hop content creator
FAN PAGE / PROMO,Young Sam,IG,@papichulosam,62K,worldstarsam@gmail.com,Email,Not Started,,Hip hop influencer
FAN PAGE / PROMO,1st Vows (Ryan Hunter),IG,@1stvows,19K,1stvows@gmail.com,Email,Not Started,,Hip hop artist
FAN PAGE / PROMO,Shun Gawd,IG,@shungawd,32K,ShunGawdCollabs@gmail.com,Email,Not Started,,Rap artist/influencer
FAN PAGE / PROMO,Mercedes,IG,@mzladymercedes,35K,bookingmercedes313@gmail.com,Email,Not Started,,Hip hop artist
FAN PAGE / PROMO,Insaine Caine,IG,@insainecaine,123K,InsaineCaineMGMT@protonmail.ch,Email,Not Started,,Hip hop artist — uses Protonmail
FAN PAGE / PROMO,Official Khloyonce,IG,@khlo_yonce,40K,yoncekhlo@gmail.com,Email,Not Started,,Hip hop content creator
FAN PAGE / PROMO,Shania La Gata,IG,@stargalgata,35K,stargalgata@gmail.com,Email,Not Started,,Hip hop content creator
FAN PAGE / PROMO,Caleb Arredondo,IG,@caleb.arredondo,676K,,DM / IG bio,Not Started,,Large hip hop influencer
FAN PAGE / PROMO,Jimmy Sowell (Nerdork),IG,@nerdork,762K,,DM / IG bio,Not Started,,Large hip hop content creator
EDITORIAL,Kollege Kidd,Web/IG,kollegekidd.com / @kollegekidd,,general@kollegekidd.com,Email,Not Started,,"Also: advertising@kollegekidd.com, exclusive@kollegekidd.com, press@kollegekidd.com. Founded 2011 Chicago"
RAP MEDIA PAGE,TMZ Hip Hop,Web/IG,tmz.com/hip-hop / @tmz_tv,,,,Not Started,,TMZ's hip hop vertical. Major reach.
RAP MEDIA PAGE,Akademy TV,IG,@theakademytv,,,,Not Started,,Akademiks' influencer news coverage page (separate from main)
RAP MEDIA PAGE,Chart Demiks,IG,@chartdemiks,,,,Not Started,,Akademiks' charts/data page
